Bx,By,Bz
1.119585054854379713e+01,-6.344992419967987907e+00,-2.453405756602370857e+01
1.119726228184949512e+01,-6.367247299414493966e+00,-2.454258297809461098e+01
1.119870786641306815e+01,-6.389530529824887672e+00,-2.455123475789255139e+01
1.120018680559158319e+01,-6.411841810685766418e+00,-2.456001315354290071e+01
1.120169860580397803e+01,-6.434180844334552063e+00,-2.456891841310961411e+01
1.120324277130296409e+01,-6.456547328775580574e+00,-2.457795077705469566e+01
1.120481880878059933e+01,-6.478940963989402668e+00,-2.458711048487141326e+01
1.120642622541775246e+01,-6.501361449246454427e+00,-2.459639777226846746e+01
1.120806452695692812e+01,-6.523808480394874820e+00,-2.460581286825201275e+01
1.120973322227396274e+01,-6.546281756207283031e+00,-2.461535600190758899e+01
1.121143181820116119e+01,-6.568780971138844293e+00,-2.462502739463186074e+01
1.121315982408701650e+01,-6.591305821687361899e+00,-2.463482726696661373e+01
1.121491674986469000e+01,-6.613856003685270935e+00,-2.464475583569848638e+01
1.121670210414475477e+01,-6.636431209566689304e+00,-2.465481331085528183e+01
1.121851539873920167e+01,-6.659031134762633641e+00,-2.466499990268921039e+01
1.122035614353880817e+01,-6.681655470404769481e+00,-2.467531581368069382e+01
1.122222385102419473e+01,-6.704303909732146849e+00,-2.468576124557291607e+01
1.122411803435432986e+01,-6.726976145362649540e+00,-2.469633639638655254e+01
1.122603820548053122e+01,-6.749671866541691934e+00,-2.470704145733136059e+01
1.122798387962001065e+01,-6.772390765581449479e+00,-2.471787661998972752e+01
